,labels,content_clean,mapping
41,1," immigration on mass in europe kills our culture our languages and over stretches our own resources such as hospitals ,schools ,now italy ,greece , etc , your right send them back home but please do not separate families islamic countries ",hate
42,0,lebanese christian victim of a quarrel between syrian refugees carrying knives and cleavers in lebanon ,not-hate
43,0,"corecivic found its best interest is to grow us detention capacity, for women and children, by over 450 . expanding the number of mother child beds from 3,500 up to 20,000. this signals the largest increase in immigrant detention since ww2  resisticenashville photo  julie henry ",not-hate
44,0,i wonder is this is where caitlyn gets his car services new moon face ,not-hate
45,1," uhhhhhh, that is stupid little bitch, madam winking face ",hate
46,0,bishop appeals to church groups to take action as migrants now account for 11 percent of reported cases ,not-hate
47,1,because some women are stupid ,hate
48,1, bitch text me ,hate
49,1,"because they had a cross on !! the lovely nhs  cannot get 100 indian doctors over from india because of immigration rules ,good  do we want to hire from a land of rapists and ignorant beliefs sadly we cannot get enough training places here, why do not we use nurse practitioners  ",hate
50,1," retweet  do not betray your  voters on  immigration.  americans,  wethepeople, and the  usa reject  daca,  amnesty, the  dreamact, and all  illegal immigration. do not break our constitutional laws. deporetweet all illegals and  daca immigr ",hate
51,1, elizabeth warren's radical agenda to abolish ice and create open borders must be stopped. geoff diehl is the only candidate with a proven record of fighting illegal immigration. vote for  for senate in ma ,hate
52,1,what an absolute cock womble this cunt is. does she also alude to the fact she recieved free university education aswel. ,hate
53,1,no matter what color a girl is she still a ho face with tears of joyface with tears of joy ,hate
54,0," i am not forcing anyone. i am just putting out my view. people believe it or not is their prerogative.even if a single person agree with me, it is ok with me. thanks, ",not-hate
55,0, factcheck thumbs up  boycottunitedarlines  aidingandabetting  felons  wethepeople are fed up  enoughisenough  ice  dhs  doj  wakeupamerica  stoptheinvasion ,not-hate
56,0," nrc assam govt must initiate immediate action 2 cancel voting id cards and aadhaar cards of the identified illegal migrants let ""commited"" political dogs bark any length and as loud as they can nation must remain firm on its security concerns ",not-hate
57,1," dan, way too tough to choose between all the lying, deceitful corrupt losers representing dems  and some gop . the list is long and disgusting. embarrassing that we pay these lying losers large salaries to corrupt our democracy. maga  kag  potus  tr ",hate
58,0,"russia, turkey, jordan are in talks on return of syrian refugees ‘“ lavrov ",not-hate
59,1,"  no.....really? a refugee? they are here to enrich our cultures, right? i bet ya he is older than 17 too.... sendthemback it is not late to save europe ",hate
60,0,neverrrrrrrrrrr ,not-hate
61,0,"thank you,  for taking a stand. it is up to all of us to fight misinformation and anti immigrant hate.  sourcesmatter ",not-hate
62,1,and now another flood of immigrants coming our way. buildthatwall ,hate
63,1,nothing irks me more than when bitches end it with a good guy then complain about getting hurt by a douche bag.  wakeupyouwhore ,hate
64,0,realizing the rights of eritrean refugees in israel. a new article https   t.co 0sstuvgq6z ,not-hate
65,0,judge orders government to release immigrant kids from texas shelter | the texas tribune ,not-hate
66,0,   do not dare to tell us about syrian refugees. ,not-hate
67,1,"  it should foment anger. only idiots open their borders to people who will never assimilate. majority of black africans coming into europe are not refugees and had the money to pay for trip over, which is expensive. ",hate
68,0,this is what trump supporters call humane smh ,not-hate
69,1,megynkelly is skank. who are paid    for what? only thing left to watch on .@nbc anymore is snl. more truth to them t… ,hate
70,0," occupyicephl was delighted to learn that charlie kirk, the anti immigrant, anti muslim, conspiracy theory touting, founder and executive director of the white nationalist allied turning point usa  tpusa  did not have a very good morning either.  nationalistsnotwelcome ",not-hate
71,0,"med not a house eu not adult day care camp for migrants seeking handouts or to profit from crime.tunisia abusing  italy eu, which has leverage bt lacks courage to use it.  salvini must send messageðÿ‘‰either stop boats and take back citizens or we bury you economically, esp. leaders ",not-hate
72,0, good girl ,not-hate
73,1,you know your women are stupid just like you're  bitch please did i fuck you  what importance do you have in my life  are you retarded  smirking facerose ,hate
74,1,do not you hate how girls just who are around because they never got daddy's attention ?? and so they have to interfere in relationships.. hoe ,hate
75,0," greedy, you have to talk about this tomorrow including the hysterical responses. ",not-hate
76,1, wow!! never seen a woman juggle a big cock like that ,hate
77,1,"fuck you, you hoe i do not want you back ",hate
78,1, screw her and her beliefs!! send them packing!! this is a christian nation with christian laws.  buildthatwall  kag ,hate
79,1, you are the sloppy queen of sucking cock ,hate
80,0,world relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the you.s. mexico border. you can make a difference and help reunite families by making a donation today. âž ,not-hate
81,1," africa for africans, asia for asians, white countries for everyone is white genocide.some basic truths   access to white people is not a human righthttps   t.co c0ghvd6imbremigration 2018   easy come, easy go!!   ",hate
82,1, you dumb cunt you trick 12 and 30 year old virgins into giving you money you fucking bitch. kys honest… ,hate
83,0,from refugee to sole survivor   how one syrian has become shoemaker to the famous ,not-hate
84,1,"    earth to andrew, come in andrew    its about immigration.denying canadians their right to survive and defend their racial interests is 'racial hatred'.  in fact its white genocide. its a crime  access to white peopl ",hate
85,0,"when you are sneaking in after a long, hard night of cheating and do not want to wake your girl because you are a good guy ",not-hate
86,0," sweetie, how the hell can you take “oh my god that is a dick?!?!?!?!” style monologue ",not-hate
87,1,"absolutely perfect keep the whole lot of illegal aliens out, now maybe libtarded snowflakes will be happy they are not being split up?  maga  kag  nodaca  noamnesty  buildthatwall  buildthewallnow  buildthedamnwall  buildthewall ",hate
88,0,hundreds of syrian refugees return home from lebanon   abc news ,not-hate
89,0,"video  immigrant activist who climbed statue of liberty has a new song  ""america, you motherfuckers,... ",not-hate
90,1,turkish government must immediately take precautions to protect it is borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival  nomorerefugees ,hate
91,1,"  'we will send back the illegal immigrants to bangladesh. tough days are ahead, we will not tolerate any illegal immigrants in bengal.'with these statements, west bengal... ",hate
92,0,retweet  i bet a lot of people's therapists are dying to meet me just to see if the stories are true. ,not-hate
93,1,holleringgggggg. stupid baby bitch. ,hate
94,1,a bitch in which i find attractive can take her sock off and my dick will suddenly become hard as shit .. ,hate
95,0,retweet  'you miss 100  of the shots you do not take.'    wayne gretzky ,not-hate
96,0," actually that is any benefits which would make a immigrant a ""public charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but  dems will not enforce it !  that is why 73  of  mexican and central amer ",not-hate
97,1,how much is john mccains funeral costing tax payers? not including his no vote to scrap obamacare. next time use our hard earned money for something useful like building the wall!! buildthatwall mccainfuneral  baloney ,hate
98,1,I have never in my life met a woman who was smarter then me. maybe that has to do with their small retard brains?  womenaredumb.. ,hate
99,0,syrian activist alleges un gave rakban camp refugee children expired sweets ,not-hate
100,1," i bit my toungue when l heard syrian refugees complain about rothsey then again , maybe someone can swop them with a high rise ",hate
101,0, list fails without '50 things to think about to stop you doing your beans' by kunt and the gang ,not-hate
102,0,"sweden dentist fined nearly  50,000 for revealing that many adult muslim migrants are posing as 'unaccompanied refugee children' via  swedenstan update... ",not-hate
103,0,"the us bill is an illegal endeavour and cannot impact the current situation. it is a part of the “deal of the century” which aims to revoke the palestinian refugees’ right of return and works hand in hand with the israeli racist nation state law,  ",not-hate
104,0,ugh! fake christians really out here trying to take away our rights!! if you care so much about life then fix the already broken foster care system and welcome refugees with open arms. follower of christ?? while not loving your neighbors? yikes. ,not-hate
105,0," laugh my ass off on my grandmother , you never knew me in 2012 so stop while you really ahead hoe ",not-hate
106,0,could you please explain why you praised the research of an anti muslim and anti immigrant foundation linked to orban's far right government?  or why you are hosting events at the hungarian embassy for this foundation? ,not-hate
107,1,"was a legal resident until she was convicted of shoplifting deported then came back illegally  now she wants you,s taxpayers to pay her medical bills   sendherback let her family go with her !   immigration ",hate
108,1,"italy and france try to patch up migrant row, draw papal rebuke    send them to the vatican... ",hate
109,1,"  in an interview with  trump does not need congress to build the wall.we are being invaded by a foreign country  defending our borders is the   1 job of the commander in chief, use dod funds.""please  ",hate
110,0,if you hate fuckboys it is only because you let one break your stupid little heart... dumb dumb ,not-hate
111,1," then do not be a who are and open your legs for everyone, and not fuck everyone you want, and magically, you will prevent getting an std. ",hate
112,1,@ the broke bitches who are partying in my ovaries. i hope you fucking die and rot in hell you stupid ugly ass bitch ,hate
113,1,  we need to keep saying it until its built!  buildthatwall ,hate
114,1,ice  124 illegal immigrants released from jail later charged in 138 murder cases  buildthewall  enforceuslaws keepamericanssafethis is all the congress should be comtemplating! bansanctuarycities  noamnesty  nodacadeal  endchainmigration  deport ,hate
115,1," facts! like bitch stfu and sit in the corner hoe. catch a fit in the corner, facing the wall ",hate
116,0, information warfare ,not-hate
117,1,here comes the results of socialism. to all liberals who want communism  here comes your new roomies.  buildthatwall ,hate
118,0,iraqi immigrant accused of critically wounding colorado cop evaded deportation despite criminal record ,not-hate
119,0,and why should he now buckle to their demands that he swear undying trust for these a******* ?????  they are the enemy of this nation!  treason ,not-hate
120,0,"trump administration may be creating 'permanently orphaned' immigrant kids, judge says – texas monthly ",not-hate
121,1," families should not bring their kids into a country illegally, would you?  we can not afford them  sendthemhome ",hate
122,0,effects of third world immigration into canada via  ,not-hate
123,0,things got heated  breaking  woman sets pedophile muslim man on fire after catching him rape 7  yr  old daughter ,not-hate
124,0, factcheck true  wakeupamerica  leftistsedition  democratshateamerica  openyoureyes  freeyourmind  buildthewall  stoptheinvasion ,not-hate
125,0,youth  care worker accused of sexually abusing  immigrant boys    prescientinfo ,not-hate
126,0,"this year a young immigrant from mali saved the life of a child in france. the president of france personally awarded him a national hero medal for bravery after inviting him to the elysée palace, offered him french citizenship and a job.  this year, the…https   t.co hkdegti5ya ",not-hate
127,1,"'come up here and say somethin now you broke, beggin, fingers in the booty ass bitch' ",hate
128,0,goals as fuck ,not-hate
129,1,"hmm... someone named ""garcia"" wants to eliminate the us mexico border. imagine my surprise.what is it called when a foreign agent enters your country and sabotages your  bordersecurity for the benefit of their own country? stoptheinvasion  securetheborder  buildthewall  noillegals ",hate
130,0, coming from a hysterical woman. ,not-hate
131,0, hahahahahahahaha no wonder you work for the sun you thick kunt. ,not-hate
132,0, you guys nailed it. I have had 3 separate fits of hysterical laughter and i did not even make it to the school yet. ,not-hate
133,1,american  familiesbelongtogether but the  democrat socialist party keeps allowing illegals to kill them   familiesbelongtogethermarch   americansfirst not illegals breaking  inmigration laws ,hate
134,1, this your who are you going to marry and lie to me about will never marry women who show body to public ,hate
135,0,russian immigrant seeks democratic nomination for alaska’s you.s. house seat ,not-hate
136,1,dawgg i am fr boutta roast this bitch lmfoaoo do not ever post ian again you stupid ass slut ,hate
137,1,fox news host  lock clinton up get this cunt pirro off the air. she is a woman hating woman. ,hate
138,1," sorry sweetie, but women are the causes of all problems ",hate
139,0,thousands march in  munich to show support for migrants ,not-hate
140,0,how to pronounce who are eyed cunt ↺rtred heart   ,not-hate
141,1, bitches love electric toothbrushes in their twats... ,hate
142,1,"can you bitches stop pulling ya pants up above your belly button, you look like my fuckin grandfather ",hate
143,0,"last week, her justice staff members spoke about immigrant detention, focusing on the inhumane treatment and poor conditions they observed volunteering at south texas family residential center in dilley, tx and how chaotic policy changes continue to adversely affect detainees. ",not-hate
144,0,   vogue hijabi cover star on growing up in a  refugee camp via   withrefugees  worldrefugeeday     ,not-hate
145,1,"* croatia ðÿ‡­ðÿ‡·   last wednesday, illegal migrants from iran were detained in a neighborhood near zapreå¡iä‡.   v4  visegrad ",hate
146,1,"paris do not like tentrefugees. now they bring them to the parque ""bois de bologne"". close of this place life the most rich people of france in the avenue foch. the rich have made big walls around their property. ",hate
147,1,"alabama  illegals force 13 year old girl to watch murder of her grandmother, then behead girl illegalaliens  alabama  animals  kag rolltide  walkaway  lockthemallup  sendthemback  buildthewall  maga  trump  trump2020  qresearch  patriotsfight  redpill ",hate
148,1,"like if you did not want to have a party, do not fucking broadcast it  thatstheshitidontlike  womensuck ",hate
149,0, cameron you could not stop migration in  your one of many broken promises y do we need to stay in e yourope to rub it in ,not-hate
150,1," i know you do, slut ",hate
151,0,when you thought you would try a little s and  m and now your ass hurts so bad you can hardly sit ,not-hate
152,0,"⁦@repmcclintock⁩ has voted to destroy the  aca more times than i can count. do not give him another opportunity. choose to support healthcare, science, immigrant rights, civil rights and social justice. choose ⁦@morse4america⁩  teammorse  ",not-hate
153,0,cocks of the beasts we keep. the life of a slut or breeding who are is quite exciting.” ,not-hate
154,0,immigrant health workers in the uk ,not-hate
155,0,that is the original it came from. but i appreciate the fact that you think i would follow or steal from you. sit down ,not-hate
156,1,"illegal immigration drives up real estate prices, widens wealth gaps, reduces high tech investment, increases state and local tax burdens, hurts kids’ schools and college education, pushes americans away from high tech jobs ",hate
157,1," some women are aggressive, promiscuous whores, but all women must try harder not to make men feel uncomf… ",hate
158,1,"totally out of control. these people     need to be reigned in. hotel rooms for opportunist migrants, millions being spent trying to stuff the genie back in the bottle, no end or strategy in sight.  ",hate
159,1, wake up and prepare to stop the evil dead in it is tracks!  sendthemback  deporttheundesirables  kickoutthelyers  savetheworldundertheonetruegod ,hate
160,0,"please rape my slut cunt and fill it up to the brim with thick, hot cum ",not-hate
161,0,as long as the position is on all fours who cares ,not-hate
162,1, well stfu then bitch you coming to some yeen got no business being in. you need to mind the business that pays you hoe ,hate
163,0,when the pizza man is more than a minute late ,not-hate
164,0,"libya tells italy  ""we do not care how much you pay us, we do not want to take back the migrant wannabes that you reject because “they include terrorists, criminals, and human traffickers"" via  ",not-hate
165,0,"you ever be talkin to someone that you really want to fuck, then they say one thing and all of the sudden you have no desire to fuck at all? ",not-hate
166,1,"500,000 angry democrat women swarm hollywood to protest rampant rape, misogyny and sexism oh, wait............. ne… ",hate
167,0,number of illegal migrants in ukraine grows by 22  ,not-hate
168,1, i get suspended at least every other day. but you still see that skank who are chelsea handler still tweeting away. ,hate
169,0,"retweet  her i do not get what you want outta this relationship him well, i was only looking for a bj but you kept coming back ",not-hate
170,1,imagine when all the eu migrants go home after  brexit. no more baguettes or pizza. people in the uk will be reduced to just eating traditional uk foods. like chicken balti. ,hate
171,0,"an undercount would allow the federal government to direct resources away from california, which has the largest  immigrant population in the country.   census takers could miss counting millions of  californians, researchers say  ",not-hate
172,0,nikki haley  un can not 'dictate' us immigration policy ,not-hate
173,1,i cannot stand girls that always have to have a boyfriend.  attentionwhores  womensuck ,hate
174,0, why you getting so hysterical. ,not-hate
175,1,"this women can do only one think, back into her ratrat hole never to come out againratif she show up on surface am call… ",hate
176,0, actnow!  usa  eb5  eb5visa  immigrant  foreign  investor  visa program laws are changing!  500k  investment. payment plans available. use  bitcoin  ether  cryptocurrency. become a us citizen! visit us at contact us today at gbibuildingco@outlook.com. retweet ,not-hate
177,1,the latest  spanish pm let us migrant boat dock at valencia    you idiots are killing spain with islamists... ,hate
178,0,afghan and pakistani migrants were shot at as they tried to invade hungary   free speech time    ,not-hate
179,1, shut the fuck up hes not going to dick you was going to send you this dope steroline edit but you can go cry to olly ,hate
180,1,"you low life scum, pathetic, deprave, pile of shit, maggots. like i said that brainless skank bitch should have died… ",hate
181,0,  bitch we r now txf sluts ,not-hate
182,0, at the very least ryan and mcconnell need to force the dems to vote against the wall. ,not-hate
183,0,russia liquidates its us treasury holdings | zero hedge   no surprise here... ,not-hate
184,1, factcheck wow  factsmatter  votedemsout  redwaverising2018  stoptheinvasion  buildthewall  deportthemall  endsanctuarycities  takeamericaback  walkawaymovementgrowing  maga ,hate
185,1,   this cannot be allowed to happen    child kidnapper and molester miller needs to be gone! ,hate
186,0,  ids the man who smirks at his own policies and implications on his own people y will not he admit its migration that fuels this ,not-hate
187,0,un seeks new funding pledges for palestinian refugees... ,not-hate
188,1," total lie. cong is the main culprit for influx of illegal migrants both bangladeshisand rhongyias. if they deported few, millions came during their tenuresand they encouraged muslim illegal migrantsandshooed away hindu migrants ",hate
189,0,sigh... ,not-hate
190,1,immigration will not make america great again ,hate
191,1,"obama, our smallest president. must take credit for all good  disavows all that was bad during his 8 year assault on our great country. maga  kag  potus  trump  news  votered  nodaca  walkaway  americafirst  usa  backtheblue  alllivesmatter  liberalismisamentaldisorder  nra ",hate
192,1, this trashy who are gold digger at again trying be something that makes her think she is good ughhh not happening hoe bag pos ,hate
193,0,when his dick game is garbage but his mouth game is fire as fuck ,not-hate
194,0,"“the verification will play a key role in establishing refugees’ identities and their declared places of origin in myanmar. it will help to preserve their right to voluntarily return home, if and when they decide that the conditions are right to do so.” ",not-hate
195,0,i recently read a book with a passage between a woman and a powerful man. i had to ask author if it was rape or nah. that is how blurry it is ,not-hate
196,0, rohingya refugees move to higher ground to avert loss of lives in the upcoming monsoon season  ucanews  voiceforthevoiceless  refugee  bangladesh      ,not-hate
197,0,tesla driving russian immigrant running as a democrat for us house seat in alaska ,not-hate
198,0,never try to holla at women who dissed you in his school i got called misogynistic egotistical who are monger damn bitch ok have a nice day face with tears of joy ,not-hate
199,0,"hiv positive shelter worker in mesa sexually abused 8 immigrant boys, authorities say ",not-hate
200,1, teenwolf  menstruafacts question of the day  when does a  feminist forget feminism? answer  when the restaurant check hits the table. ,hate
201,0,the church's position on immigration will define its witness to a hurt and broken world.   welcoming the stranger. this updated book is written by world relief's matthew soerens and jenny yang. find your copy today! ,not-hate
202,0,"  grant you the first point, but it was a joke more than an insult.about the second point though, calling an hysterical person hysterical does not set anyone back. there are hysterical women  and men , bitches and douchebags, ass ",not-hate
203,1,"no your not! you are scroungers soldiers coming to create a caliphate or create chaos. go home, look after your girlfriends wives kids. all fighting age. the last thing you are, are refugees! bugger off! bye, bey, cheers.... ",hate
204,0," act4 southernsyria apparently secret meeting this week bet  angelamerkel  andrussia fm lavrovandheadrussian army   europe will come inandhelp rebuild  syria ,which russia wants  sothat what europe wants most can materialize ‘“ returnof  refugees  german journo  datelinelondon ",not-hate
205,1,"make canada like hungary again prime minster viktor orbã¡n has vowed to not allow his christian country to be changed by incompatible jihadi invaders.   orbã¡n, has warned  “europe is under invasion, countries that do not stop immigration will be lost”  ",hate
206,0,"i am an immigrant. i live with my child. i am a 29 year old female. i earned  13,000 last year. i work 40 hours per week. i have a bachelor's degree in accounting. i live in mi cc'rep. john moolenaar.  immigrantsareus ",not-hate
207,1,"africans having their say about blacks in europe, and europeans in africa, at the  landexpropriationhearings, currently underway in  southafrica.   sendthemback ",hate
208,1,dems suggest kavanaugh should not be considered for scotus b c  trump is under investigation!never mind that said investigation is a trumped up phony witch hunt begun by dems in the 1st place potus  maga  draintheswamp  votered  news  nodaca  kag  getoutthevote  buildthewall ,hate
209,0,"he is in and out of jail. he is a bum , he a pussy bitch ! he just are not shit ! i pray his next child he do wayyyyy better with fr. ",not-hate
210,1,you do not so why tweet it face with tears of joyface with tears of joy the only bitch you talk to is helllo me tf who are face with rolling eyesface with tears of joy ,hate
211,0,the relocationprogramm of the eu does not work. the refugees do not want to go to countries without a comfortabel socialsystem. ,not-hate
212,1,illegal immigrant who killed kate steinle likely will be sentenced to time served  preventabledeath buildthewall  stoptheinvasion  therismoreofthemoutthere ,hate
213,0,I have never understood why people stand and wait on they food at tolly ho... you a good one ,not-hate
214,0,"friend  how are you so carefree living a life of drinking, drugs and unprotected sex with complete strangers? me  ",not-hate
215,0,most people and including me have no problem with immigration it the illegal immigrant that we think should be stopped and deported. there is a different between a legal and illegal immigrants. ,not-hate
216,0,virginia governor calls for probe into abuse allegations at facility that holds immigrant teens ,not-hate
217,0,when you and yo your girlfriend are so close that you are best friends.. so much so that you just want to tell her about the other girls  your fuckin ,not-hate
218,0,retweet  it is not her fault that your dick is extra special. it makes people daydream ya know? xp ,not-hate
219,1,you stupid fucking who are mom ,hate
220,0,allies 10 year old brother is calling me a cunt and a bitch because i asked him a questionskull ,not-hate
221,1, fucking cunt bitch has learned nothing from the election ,hate
222,1,"illegal alien awaiting deportation for child rape, now caught producing child porn ",hate
223,0,the  commonweath of va welcomes all immigrants to its benefit and theirs  ,not-hate
224,0,"denmark has cut welfare benefits for migrants   ""we will move to finland"" they threaten ""finland will treat us better""   free speech time    ",not-hate
225,1," of right settle down 75 m t yourks could invade e yourope no more kebabs ,cameron  your immigration policy as a nappy for constipated people ",hate
226,1, no bitch you a hoe ,hate
227,0,shoutout to everyone accidentally blowing fingers off on video today so we can all have a good laugh tomorrow... you all patriotic as fuck ,not-hate
228,1,women in their 30's on vacation will literally fuck anything ,hate
229,1,   atlantahitrockbottoms this fool is promoting lawlessness from illegals and wants to turn atl into a 3rd world city like chicago and la. we are better than this brainless idiot!  impeachbottoms  buildthatwall ,hate
230,0,her  can i stay the night? me  ,not-hate
231,1,"watch  merkel's germany is starting to look like syria   immigrants set cars on fire ""just for fun""   free speech time    ",hate
232,1,I would say electrify the water but that would kill wildlife.  sendthemback ,hate
233,0, the politics of hard done asylum seekers and designer immigration policies to help them into housing and nhs and other resources that can not be accessed by ordinary uk public all you do go on hunger strike or buy a budgie get some publicity whi ,not-hate
234,1,"disgusting , and bitch you are no rock star !! you are a no class skankclown faceface screaming in fearsnakesee no evil monkeyhear no evil monkeyspeak no evil monkeyeye ",hate
235,0,to use rape as a weapon towards women are far worse than using a bullet. only other men can help the women in burma. stand up for the women ,not-hate
236,0,"trump's border wall, immigration plans re emerge at top of national debate  stoptheinvasion ",not-hate
237,1,"  nodaca  tuesdaythoughtsobama used dreamer illegal aliensto defraud the american dream nodacadeal  americafirst clint eastwood was mocked forhis 2012 rnc speech, yet the new obamapainting confirms obamais nothing but an empty chair.clint  ",hate
238,0, protect undocumented immigrants??? ,not-hate
239,0,president trump weekly address ‘“ immigration reformâ needed‘¦ ,not-hate
240,0,how retarded must you be to have a skank shave your legs person facepalminglight skin tone‍female sign️  jeremykyle ,not-hate
241,0,pope to explore links between poverty and migration ,not-hate
242,0,the united states is a country founded by immigrants and dependent for its success on  immigration. ,not-hate
243,1, not all men you are right doyoung would not treat me like this !!!! ,hate
244,0,"well, i guess booker won the ""most hysterical woman"" award today!! !!! ",not-hate
245,0,left wing spanish government deny 'mass' migration  'europe needs new blood' ,not-hate
246,1, hillary clinton does give a shit about women that is why she lied again she is now keeping all the harvey weinstein money greedy bitch ,hate
247,0,   immigration in a picturehttps   t.co bnrq7n7oj3 ,not-hate
248,0,"working on  memories  immigrant  lives  newyork  theworld @ new york, new york ",not-hate
249,0,"retweet  after three years of separation, a young syrian refugee hugs his mother in germany. the picture says it all.  familyreunification ",not-hate
250,1,   that is right you the man  favoritepresident  buildthewall  stoptheinvasion  americansfirst one flag one country ðÿ‡ºðÿ‡¸ ,hate
251,1,  buildthatwall end  chainmigration replace  immigrationlottery ,hate
252,0, who are? really? why do not you have some respect for women you asshole! ,not-hate
253,0,'lawless area'  german police conducts raid at refugee center after mob ... via  ,not-hate
254,0,"marianna's* status and documentation as the wife of a refugee was what she thought she needed...however, only... ",not-hate
255,1,preying on women is a bitch tendency double exclamation mark️speaking head ,hate
256,0,ha ha bjp knows that hindus r so stupid that they r ready to starve with no jobs but first like to see ram mandir then taj mahal. ,not-hate
257,0," melissa, you are hysterical. face with tears of joy i am giving you a happy dance for todayraising handslight skin tone ",not-hate
258,0,before  and   was a young girl whose immigrant parents were deported. do not miss her stunning memoir my family divded. ,not-hate
259,1," if immigration will not stopped in europe, the refugees will destroy the welfare. this means streetfights and dead on european streets. ",hate
260,0,"new blog post âž at world relief, we have welcomed and provided support to almost 300,000 refugees since 1979. we love these strangers as neighbors because jesus calls us to. but we also do it because we know that is what we would all want for our own families. ",not-hate
261,0,because it is easy to call women those things when the one hurting you repeatedly acts like he was not being the slut and who are himself. ,not-hate
262,0,"when you go to take a sip and and spill it on your face... like what the fuck hand, why you let me down like that, bruh ",not-hate
263,0,"  skank ,hoe , all these words you use to describe female artists.gosh,get a grip. do you… ",not-hate
264,0,the german government pays for 3 week vacation for refugees to go home the german government is actually giving refugees three weeks paid vacations including airfare back to the very countries that claim they are fleeing because it is unsafe. just ,not-hate
265,0,"“many of these parents were removed from the country without their child, all of this is the result of the government’s separation and then inability and failure to track and reunite,”  judge  sabraw said. ",not-hate
266,1,   your a bitch who needed to shut his hole ,hate
